SA3 code,state,region,children,families,services
31303,NSW,Caboolture Hinterland,590,400,6
31304,NSW,Narangba - Burpengary,4970,3540,34
31305,NSW,Redcliffe,3730,2710,33
31401,NSW,The Hills District,6260,4410,44
31402,NSW,North Lakes,7800,5750,52
31403,NSW,Strathpine,3170,2300,25
31501,NSW,Far North,720,540,24
31502,NSW,Outback - North,850,620,19
31503,NSW,Outback - South,460,350,10
31601,NSW,Buderim,4710,3390,33
31602,NSW,Caloundra,6020,4190,45
31603,NSW,Maroochy,3440,2510,26
31605,NSW,Noosa,2340,1660,21
31606,QLD,Sunshine Coast Hinterland,2900,2040,27
31607,NSW,Nambour,3710,2660,30
31608,NSW,Noosa Hinterland,710,530,10
31701,QLD,Toowoomba,10550,7250,105
31801,NSW,Charters Towers - Ayr - Ingham,1200,860,15
31802,QLD,Townsville,13710,9510,133
31901,QLD,Bundaberg,5530,3880,50
31902,NSW,Burnett,1220,870,17
31903,NSW,Gympie - Cooloola,2130,1510,24
31904,NSW,Hervey Bay,3450,2430,33
31905,NSW,Maryborough,1500,1070,15
40101,SA,Adelaide City,1930,1570,22
40102,SA,Adelaide Hills,5130,3460,54
40103,NSW,Burnside,2600,2010,21
40104,NSW,Campbelltown (SA),3150,2360,27
40105,NSW,Norwood - Payneham - St Peters,3370,2540,28
40106,NSW,Prospect - Walkerville,2840,2130,23
40107,NSW,Unley,2920,2130,33
40201,NSW,Gawler - Two Wells,3380,2370,27
40202,NSW,Playford,6570,4760,54
40203,SA,Port Adelaide - East,3420,2620,35
40204,NSW,Salisbury,6710,5030,71
40205,NSW,Tea Tree Gully,6630,4690,55
40301,NSW,Holdfast Bay,3150,2290,23
40302,NSW,Marion,4710,3560,47
40303,NSW,Mitcham,5020,3600,40
40304,SA,Onkaparinga,11150,7710,101
40401,NSW,Charles Sturt,6710,4840,50
40402,SA,Port Adelaide - West,2970,2200,29
40403,NSW,West Torrens,4430,3360,42
40501,SA,Barossa,1790,1220,23
40502,NSW,Lower North,810,510,12
40503,NSW,Mid North,850,620,12
40504,NSW,Yorke Peninsula,650,480,11
40601,NSW,Eyre Peninsula and South West,1780,1300,29
40602,NSW,Outback - North and East,610,430,9
40701,NSW,Fleurieu - Kangaroo Island,1780,1270,25
40702,NSW,Limestone Coast,2440,1740,25
40703,SA,Murray and Mallee,2250,1590,31
50101,WA,Augusta - Margaret River - Busselton,3410,2420,30
50102,WA,Bunbury,3880,2810,50
50103,NSW,Manjimup,370,280,10
50201,WA,Mandurah,4620,3290,52
50301,NSW,Cottesloe - Claremont,2900,2160,44
50302,WA,Perth City,5820,4470,66
50401,NSW,Bayswater - Bassendean,4030,3030,46
50402,NSW,Mundaring,2210,1600,20
50403,NSW,Swan,8760,6260,90
50501,NSW,Joondalup,10960,7650,102
50502,NSW,Stirling,10430,7640,116
50503,NSW,Wanneroo,12750,9130,130
50601,NSW,Armadale,6540,4700,64
50602,NSW,Belmont - Victoria Park,3850,2850,41
50603,NSW,Canning,4540,3420,55
50604,NSW,Gosnells,5960,4360,75
50605,NSW,Kalamunda,2720,1940,31
50606,NSW,Serpentine - Jarrahdale,2130,1490,22
50607,WA,South Perth,2260,1690,26
50701,NSW,Cockburn,6700,4900,66
50702,NSW,Fremantle,2340,1720,30
50703,NSW,Kwinana,2940,2120,26
50704,NSW,Melville,5140,3790,59
50705,NSW,Rockingham,7880,5560,78
50901,WA,Albany,2360,1730,25
50902,NSW,Wheat Belt - North,920,660,23
50903,NSW,Wheat Belt - South,510,380,12
51001,WA,Kimberley,1010,720,17
51002,WA,East Pilbara,770,570,10
51003,WA,West Pilbara,1260,910,23
51101,WA,Esperance,280,220,7
51102,NSW,Gascoyne,100,90,4
51103,NSW,Goldfields,1200,940,13
51104,NSW,Mid West,1610,1130,25
60101,NSW,Brighton,710,530,6
60102,TAS,Hobart - North East,3380,2450,31
60103,TAS,Hobart - North West,1820,1360,25
60104,TAS,Hobart - South and West,2240,1640,18
60105,TAS,Hobart Inner,4240,3150,43
60106,NSW,Sorell - Dodges Ferry,850,620,11
60201,TAS,Launceston,4830,3540,47
60202,NSW,Meander Valley - West Tamar,450,320,7
60203,NSW,North East,720,510,15
60301,NSW,Central Highlands (Tas.),170,120,5
60302,NSW,Huon - Bruny Island,460,340,7
60303,NSW,South East Coast,110,90,5
60401,TAS,Burnie - Ulverstone,2110,1490,26
60402,TAS,Devonport,1450,1060,17
60403,NSW,West Coast,400,290,6
70101,NT,Darwin City,1340,1010,16
70102,NT,Darwin Suburbs,3700,2620,53
70103,NSW,Litchfield,1350,910,16
70104,NT,Palmerston,3350,2380,38
70201,NT,Alice Springs,970,770,31
70202,NSW,Barkly,60,50,4
70203,NSW,Daly - Tiwi - West Arnhem,100,90,7
70204,NSW,East Arnhem,350,240,6
70205,NT,Katherine,520,370,17
80101,ACT,Belconnen,6840,4910,65
80103,ACT,Canberra East,390,330,4
80104,ACT,Gungahlin,5800,4250,48
80105,ACT,North Canberra,3760,2800,43
80106,ACT,South Canberra,3450,2660,38
80107,ACT,Tuggeranong,5610,4040,57
80108,NSW,Weston Creek,1710,1260,16
80109,ACT,Woden Valley,3250,2360,30
80110,ACT,Molonglo,670,540,4
,,,,,
"*As children may use services in more than one SA3, and due to rounding, the sum of the component parts may not equal the total.",,,,,
Source: Department of Education administrative data.,,,,,
